gene,cluster,ZT,expression,adj.p_1,adj.p_2,adj.p_3
14-3-3epsilon,ALG,2,1.614940047264099,0.00954250841750842,0.0482232395901461,0.00243161705551086
14-3-3epsilon,ALG,8,1.425754070281982,0.00954250841750842,0.0482232395901461,0.00243161705551086
14-3-3epsilon,ALG,14,1.879948496818542,0.00954250841750842,0.0482232395901461,0.00243161705551086
14-3-3epsilon,ALG,20,1.530994892120361,0.00954250841750842,0.0482232395901461,0.00243161705551086
14-3-3epsilon,ALG,26,1.614940047264099,0.00954250841750842,0.0482232395901461,0.00243161705551086
14-3-3epsilon,ALG,32,1.425754070281982,0.00954250841750842,0.0482232395901461,0.00243161705551086
14-3-3epsilon,ALG,38,1.879948496818542,0.00954250841750842,0.0482232395901461,0.00243161705551086
14-3-3epsilon,ALG,44,1.530994892120361,0.00954250841750842,0.0482232395901461,0.00243161705551086
14-3-3zeta,EG_2,2,2.52458667755127,5.3030303030303e-4,4.3678977272727e-4,0.00131194295900178
14-3-3zeta,EG_2,8,1.841302752494812,5.3030303030303e-4,4.3678977272727e-4,0.00131194295900178
14-3-3zeta,EG_2,14,2.810009479522705,5.3030303030303e-4,4.3678977272727e-4,0.00131194295900178
14-3-3zeta,EG_2,20,2.153652906417847,5.3030303030303e-4,4.3678977272727e-4,0.00131194295900178
14-3-3zeta,EG_2,26,2.52458667755127,5.3030303030303e-4,4.3678977272727e-4,0.00131194295900178
14-3-3zeta,EG_2,32,1.841302752494812,5.3030303030303e-4,4.3678977272727e-4,0.00131194295900178
14-3-3zeta,EG_2,38,2.810009479522705,5.3030303030303e-4,4.3678977272727e-4,0.00131194295900178
14-3-3zeta,EG_2,44,2.153652906417847,5.3030303030303e-4,4.3678977272727e-4,0.00131194295900178
4EHP,79,2,1.600124835968018,0.0249936738519213,0.0155099502487562,0.0148054323725055
4EHP,79,8,0.6926487684249878,0.0249936738519213,0.0155099502487562,0.0148054323725055
4EHP,79,14,1.570634841918945,0.0249936738519213,0.0155099502487562,0.0148054323725055
4EHP,79,20,1.221228957176208,0.0249936738519213,0.0155099502487562,0.0148054323725055
4EHP,79,26,1.600124835968018,0.0249936738519213,0.0155099502487562,0.0148054323725055
4EHP,79,32,0.6926487684249878,0.0249936738519213,0.0155099502487562,0.0148054323725055
4EHP,79,38,1.570634841918945,0.0249936738519213,0.0155099502487562,0.0148054323725055
4EHP,79,44,1.221228957176208,0.0249936738519213,0.0155099502487562,0.0148054323725055
4EHP,ALG,2,0.8861701488494873,0.0173560606060606,0.00960991126736983,0.0183886363636364
4EHP,ALG,8,0.4965375959873199,0.0173560606060606,0.00960991126736983,0.0183886363636364
4EHP,ALG,14,0.9503527879714966,0.0173560606060606,0.00960991126736983,0.0183886363636364
4EHP,ALG,20,0.6107377409934998,0.0173560606060606,0.00960991126736983,0.0183886363636364
4EHP,ALG,26,0.8861701488494873,0.0173560606060606,0.00960991126736983,0.0183886363636364
4EHP,ALG,32,0.4965375959873199,0.0173560606060606,0.00960991126736983,0.0183886363636364
4EHP,ALG,38,0.9503527879714966,0.0173560606060606,0.00960991126736983,0.0183886363636364
4EHP,ALG,44,0.6107377409934998,0.0173560606060606,0.00960991126736983,0.0183886363636364
5-HT1B,y,2,1.007570147514343,0.00443722943722944,0.00246590909090909,0.00234769570707071
5-HT1B,y,8,0.8539641499519348,0.00443722943722944,0.00246590909090909,0.00234769570707071
5-HT1B,y,14,0.634443461894989,0.00443722943722944,0.00246590909090909,0.00234769570707071
5-HT1B,y,20,0.8558262586593628,0.00443722943722944,0.00246590909090909,0.00234769570707071
5-HT1B,y,26,1.007570147514343,0.00443722943722944,0.00246590909090909,0.00234769570707071
5-HT1B,y,32,0.8539641499519348,0.00443722943722944,0.00246590909090909,0.00234769570707071
5-HT1B,y,38,0.634443461894989,0.00443722943722944,0.00246590909090909,0.00234769570707071
5-HT1B,y,44,0.8558262586593628,0.00443722943722944,0.00246590909090909,0.00234769570707071
7B2,79,2,2.075848340988159,0.0154894664529425,0.00545289855072464,0.00834018022793533
7B2,79,8,0.9821944236755371,0.0154894664529425,0.00545289855072464,0.00834018022793533
7B2,79,14,2.104247808456421,0.0154894664529425,0.00545289855072464,0.00834018022793533
7B2,79,20,1.629366278648376,0.0154894664529425,0.00545289855072464,0.00834018022793533
7B2,79,26,2.075848340988159,0.0154894664529425,0.00545289855072464,0.00834018022793533
7B2,79,32,0.9821944236755371,0.0154894664529425,0.00545289855072464,0.00834018022793533
7B2,79,38,2.104247808456421,0.0154894664529425,0.00545289855072464,0.00834018022793533
7B2,79,44,1.629366278648376,0.0154894664529425,0.00545289855072464,0.00834018022793533
7B2,ALG,2,1.175830125808716,3.2729640151515e-4,0.00114660114660115,4.403409090909e-4
7B2,ALG,8,0.3776260018348694,3.2729640151515e-4,0.00114660114660115,4.403409090909e-4
