cluster,gene,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,Pearson_r2,p.adj
nonPAM,ast,0.0986173003911972,0.05792354047298431,0.03031456097960472,0.06836230307817459,0.03132718428969383,0.02820813469588757,0,-0.8436879851800647,0.03354141867409225
nonPAM,Brca2,0.03637883812189102,0.06818412244319916,0.0702180564403534,0.07524457573890686,0.08391374349594116,0.06903021037578583,0.09550807625055313,0.8154085408822919,0.04973583079309782
nonPAM,bru-2,0.09227896481752396,0.09016220271587372,0.01202874165028334,0,0,0.00804190430790186,0,-0.8166162111091206,0.04896971620772415
nonPAM,Cda5,0.2268658578395844,0.1970169991254807,0.2236480265855789,0.2290703952312469,0.1008243635296822,0.1383463442325592,0.09550807625055313,-0.8154925640486533,0.048933536794721566
nonPAM,CG10189,0,0.01826203987002373,0.02499210834503174,0.05734444037079811,0.1193190738558769,0.08097811788320541,0.08112908899784088,0.8432423816678224,0.033759147792940834
nonPAM,CG10384,0.4090318381786346,0.4734440445899963,0.4416509568691254,0.5871828198432922,0.5746637582778931,0.567447304725647,0.6275774836540222,0.9037851929226983,0.010418153200736977
nonPAM,CG10395,0.2748831510543823,0.3376936912536621,0.3595661818981171,0.3483233749866486,0.3268939554691315,0.3852925002574921,0.4051099717617035,0.8286291718813096,0.041697383351383205
nonPAM,CG10466,0.1430159211158752,0.1528888344764709,0.1129175499081612,0.08742751181125641,0.08585165441036224,0.06113291159272194,0.07036098092794418,-0.9329560073984267,0.0043013610591288295
nonPAM,CG10483,0.1252238750457764,0.2852353155612946,0.2687025964260101,0.2535265386104584,0.2821008563041687,0.3336227536201477,0.3636817634105682,0.8415838698394205,0.03456536165982474
nonPAM,CG10646,0.2270751595497131,0.1596723198890686,0.0707593709230423,0.1682395339012146,0.1055228039622307,0.06496954709291458,0.02668469212949276,-0.8288885566772676,0.04091910572825227
nonPAM,CG11885,0.3282390236854553,0.248047947883606,0.2030266523361206,0.1366141587495804,0.1484612822532654,0.1203952878713608,0.03035503625869751,-0.96396019664707,9.281369712808849e-4
nonPAM,CG12084,0.2572416365146637,0.2124097049236298,0.2482339143753052,0.223202109336853,0.308052659034729,0.3231649994850159,0.3780397772789001,0.8283124535666717,0.04187453663039986
nonPAM,CG12325,0,0.04157865792512894,0.01472921948879957,0.04019499942660332,0.04257405549287796,0.04920065775513649,0.0771578848361969,0.8550108731972712,0.028021218868181715
nonPAM,CG1319,0.3347824811935425,0.2803148031234741,0.2874842584133148,0.2853558957576752,0.2115901112556458,0.112672284245491,0.1114589050412178,-0.932485995760904,0.004375143270241166
nonPAM,CG13293,0.9555137753486633,0.8379904627799988,0.7372942566871643,0.7348530292510986,0.7100740671157837,0.7300014495849609,0.6329557299613953,-0.8979800097302855,0.012010720585540624
nonPAM,CG13332,0,0.02689133957028389,0.02844779565930367,0.02918737009167671,0.03775159269571304,0.06286448240280151,0.04463525116443634,0.8646883436773366,0.02375719768132764
nonPAM,CG13398,0.516065776348114,0.3308820724487305,0.3409590423107147,0.2370070368051529,0.2783293128013611,0.15169957280159,0.2194380164146423,-0.8643666937428045,0.023865977285060975
nonPAM,CG13994,0.5167683362960815,0.2801248133182526,0.3400894105434418,0.1946718990802765,0.2611546516418457,0.1922028809785843,0.1730234026908875,-0.8265409666617276,0.04290293088578271
nonPAM,CG15237,0.2994853556156158,0.2886532843112946,0.2313387542963028,0.2693785727024078,0.2559891939163208,0.1815644651651382,0.09043924510478973,-0.8585739692586766,0.026389371962620176
nonPAM,CG15863,0.1304182410240173,0.1098199784755707,0.0636238306760788,0.1182340979576111,0.05469726771116257,0.03348077833652496,0,-0.8826355712207328,0.016843638802288743
nonPAM,CG17359,0.0365874394774437,0.0391516350209713,0.0442095473408699,0.05734444037079811,0.0747174471616745,0.07563565671443939,0.08569206297397614,0.976847000375528,3.0923584701844387e-4
nonPAM,CG18661,0.2060106098651886,0.1515927761793137,0.120988592505455,0.1585211455821991,0.1024654880166054,0.1057774946093559,0.06196799501776695,-0.8950191225279559,0.012872359608141511
nonPAM,CG2064,0.1615893989801407,0.125466600060463,0.06313134729862213,0.1181132048368454,0.06163569539785385,0.07075679302215576,0.02087407372891903,-0.8563616756875982,0.027431876470710787
nonPAM,CG30069,0,0.03320669755339622,0.03949273750185966,0.02805685624480247,0.03169830143451691,0.05516466498374939,0.0668485164642334,0.8582666932364434,0.026565085869599527
nonPAM,CG3104,0.6241934299468994,0.6075894832611084,0.4974439740180969,0.4574806392192841,0.5328776836395264,0.4519029557704926,0.3834044933319092,-0.885705912993468,0.01581565333483763
nonPAM,CG31814,0.6813890933990479,0.4803323745727539,0.4307984113693237,0.3375005722045898,0.4033948481082916,0.3012507855892181,0.2112697064876556,-0.9217854462810228,0.006279334075952929
nonPAM,CG32264,2.038034439086914,2.323155879974365,2.341054439544678,2.27595067024231,2.464955568313599,2.539303541183472,2.429001569747925,0.8202970459108897,0.04598021389948324
nonPAM,CG33155,0,0.006572757847607136,0,0,0.01310491282492876,0.01432019658386707,0.02411962859332561,0.8372958124758065,0.0368334634910106
nonPAM,CG34174,0.07296627759933472,0.0843588262796402,0.05209627747535706,0.03917493298649788,0.02217522263526917,0.03692667186260223,0.03194038942456245,-0.8432766957061515,0.033728039599765454
nonPAM,CG34356,0.7016663551330566,0.7612561583518982,0.8269715905189514,1.035099506378174,0.9808906316757202,0.9470983743667603,1.066643476486206,0.8890981742872867,0.0147046256416171
nonPAM,CG34370,0.4939764738082886,0.4609292149543762,0.407191663980484,0.3487038612365723,0.2622326910495758,0.3699387907981873,0.2502290904521942,-0.8817851751840031,0.01713547964505801
nonPAM,CG34380,0.8666889071464539,0.7839784026145935,0.6601415872573853,0.5388899445533752,0.6378493905067444,0.5889389514923096,0.5678265690803528,-0.840061482609211,0.035392165448681547
nonPAM,CG3714,0.09752202779054642,0.1960955709218979,0.1787229180335999,0.2552750706672668,0.2100335657596588,0.2230527997016907,0.3055073618888855,0.8448888170474076,0.03292978800622786
nonPAM,CG3876,0.4258466958999634,0.4237497448921204,0.4006966352462769,0.2118520140647888,0.3437457680702209,0.2430492043495178,0.09172558039426804,-0.8604724765932049,0.025544950234155244
nonPAM,CG3907,0.8272744417190552,0.8743531107902527,0.7785962224006653,0.7106736898422241,0.8279795050621033,0.6292863488197327,0.5560272932052612,-0.8290328100669171,0.041469950101813396
